epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.78377,1.31803,2.96665,1.44161,0.00475,0.9661,0.55803,0.34693,1.21409,2.83993,1.30013,0.00016,0.00016,0.00016
2,6.6649,0.69111,2.09135,0.98443,0.00492,1,0.93567,0.83888,0.44775,2.58552,0.90445,0.000336634,0.000336634,0.000336634
3,8.28753,0.51313,1.28162,0.90991,0.00492,1,0.96296,0.85504,0.47335,2.44814,0.9005,0.000509704,0.000509704,0.000509704
4,9.98785,0.4809,0.97869,0.87434,1,0.5283,0.94093,0.864,0.46931,2.33684,0.90781,0.00067921,0.00067921,0.00067921
5,11.5755,0.47849,0.94324,0.88376,0.97739,0.73276,0.91649,0.78498,0.64152,2.12823,0.99475,0.000845152,0.000845152,0.000845152
6,13.1728,0.49985,0.90321,0.87889,0.89683,0.44068,0.63548,0.54767,0.52865,2.30165,0.90377,0.00100753,0.00100753,0.00100753
7,14.7071,0.46949,0.86086,0.8733,0.9781,0.75719,0.91282,0.75985,0.65158,2.12946,0.9695,0.00116634,0.00116634,0.00116634
8,16.2564,0.46493,0.85482,0.86917,0.94283,0.83864,0.93542,0.83959,0.51071,1.61708,0.89854,0.00132159,0.00132159,0.00132159
9,17.7952,0.4462,0.79208,0.87346,0.97905,0.94915,0.94912,0.83675,0.55666,1.40765,0.90958,0.00147328,0.00147328,0.00147328
10,19.4075,0.44925,0.7457,0.85582,0.99097,0.9322,0.94722,0.86133,0.46936,1.52018,0.89796,0.0016214,0.0016214,0.0016214
11,20.945,0.47566,0.73479,0.88234,0.99759,0.94915,0.95178,0.85416,0.50553,1.21688,0.91172,0.00176596,0.00176596,0.00176596
12,22.4931,0.4494,0.72275,0.87825,0.99938,0.94915,0.94886,0.84838,0.4762,0.96183,0.87472,0.0017822,0.0017822,0.0017822
13,24.0228,0.42267,0.66948,0.84502,0.99841,0.94915,0.94841,0.85901,0.47958,0.78302,0.89709,0.0017624,0.0017624,0.0017624
14,25.6268,0.41288,0.63075,0.85421,0.99804,0.94915,0.94668,0.90028,0.41876,0.70737,0.88879,0.0017426,0.0017426,0.0017426
15,27.1713,0.39181,0.5889,0.85902,0.99901,0.94915,0.9484,0.89458,0.40961,0.64543,0.87589,0.0017228,0.0017228,0.0017228
16,28.7175,0.41392,0.64122,0.87005,0.99896,0.94915,0.95223,0.89749,0.36774,0.61963,0.86186,0.001703,0.001703,0.001703
17,30.2556,0.37547,0.57724,0.8501,0.99854,0.94915,0.95991,0.91033,0.35206,0.60679,0.84903,0.0016832,0.0016832,0.0016832
18,31.7933,0.39611,0.55688,0.84896,0.99849,0.94915,0.97863,0.89836,0.46913,0.59403,0.87893,0.0016634,0.0016634,0.0016634
19,33.3009,0.40206,0.55055,0.87001,0.99836,0.94915,0.96626,0.9112,0.38138,0.54399,0.86281,0.0016436,0.0016436,0.0016436
20,34.8514,0.39232,0.54952,0.85185,0.99882,0.94915,0.95974,0.89075,0.43104,0.57361,0.88182,0.0016238,0.0016238,0.0016238
21,36.4489,0.37016,0.53263,0.85919,1,0.94412,0.96746,0.90438,0.37651,0.50002,0.86669,0.001604,0.001604,0.001604
22,37.9526,0.36726,0.51204,0.83727,0.9992,0.94915,0.95804,0.89136,0.40387,0.51447,0.88553,0.0015842,0.0015842,0.0015842
23,39.4661,0.36852,0.48782,0.84021,0.99892,0.94915,0.9463,0.90258,0.356,0.49784,0.86196,0.0015644,0.0015644,0.0015644
24,41.0153,0.37312,0.49896,0.85816,0.999,0.94915,0.94941,0.89565,0.38654,0.52877,0.86886,0.0015446,0.0015446,0.0015446
25,42.5286,0.38345,0.48753,0.85349,0.99878,0.94915,0.9509,0.91357,0.30334,0.48396,0.84054,0.0015248,0.0015248,0.0015248
26,44.1227,0.3579,0.46677,0.8448,0.99888,0.94915,0.94974,0.90202,0.35928,0.45948,0.85009,0.001505,0.001505,0.001505
27,45.6315,0.35221,0.48144,0.85511,0.9984,0.94915,0.94965,0.92795,0.29815,0.46428,0.83765,0.0014852,0.0014852,0.0014852
28,47.1892,0.34499,0.45112,0.84845,0.99825,0.94915,0.972,0.90459,0.36686,0.42504,0.85803,0.0014654,0.0014654,0.0014654
29,48.695,0.37905,0.45833,0.84386,0.99853,0.94915,0.98049,0.91826,0.36668,0.43541,0.86484,0.0014456,0.0014456,0.0014456
30,50.205,0.35543,0.43547,0.8298,0.99802,0.94915,0.98063,0.90286,0.3714,0.45625,0.85412,0.0014258,0.0014258,0.0014258
31,51.7315,0.3362,0.4254,0.83723,0.99856,0.94915,0.96236,0.928,0.2636,0.40404,0.83552,0.001406,0.001406,0.001406
32,53.3577,0.31308,0.39303,0.82765,0.99899,0.94915,0.94716,0.91365,0.32246,0.40519,0.84697,0.0013862,0.0013862,0.0013862
33,54.8751,0.31579,0.39112,0.84198,0.99899,0.94915,0.95469,0.91497,0.27978,0.36502,0.83949,0.0013664,0.0013664,0.0013664
34,56.3952,0.31456,0.38614,0.83479,0.99886,0.94915,0.97235,0.93757,0.28266,0.38941,0.84076,0.0013466,0.0013466,0.0013466
35,57.9198,0.31224,0.38426,0.83469,0.99877,0.94915,0.9727,0.92846,0.29534,0.40162,0.85118,0.0013268,0.0013268,0.0013268
36,59.4881,0.30885,0.37435,0.83424,0.99898,0.94915,0.9488,0.93545,0.26993,0.3659,0.83682,0.001307,0.001307,0.001307
37,60.997,0.31743,0.37714,0.84316,1,0.9652,0.968,0.92848,0.29717,0.37884,0.84037,0.0012872,0.0012872,0.0012872
38,62.5791,0.3233,0.39731,0.8509,1,0.96522,0.98051,0.93708,0.25299,0.36526,0.83425,0.0012674,0.0012674,0.0012674
39,64.0951,0.31764,0.36362,0.82127,0.999,0.94915,0.97187,0.9376,0.26467,0.3419,0.83878,0.0012476,0.0012476,0.0012476
40,65.657,0.30481,0.3523,0.82606,0.9989,0.94915,0.97366,0.93685,0.2566,0.35783,0.83236,0.0012278,0.0012278,0.0012278
41,67.1837,0.29418,0.35801,0.83038,1,0.9653,0.97291,0.94173,0.27321,0.35151,0.8416,0.001208,0.001208,0.001208
42,68.7085,0.31051,0.35564,0.83285,1,0.96529,0.98406,0.92558,0.30829,0.36448,0.8435,0.0011882,0.0011882,0.0011882
43,70.2298,0.31547,0.35891,0.85026,1,0.96526,0.98602,0.93717,0.26224,0.33658,0.83438,0.0011684,0.0011684,0.0011684
