epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,184.04,1.84516,1.5097,1.18444,0.79572,0.59452,0.69242,0.35732,1.56945,0.95667,1.07497,0.00998756,0.00332919,0.00998756,0.00332919,0.00998756,0.00332919,0.00998756,0.00332919
2,336.095,1.68161,1.03662,1.05865,0.81081,0.59383,0.68141,0.34608,1.57482,0.9953,1.07942,0.0197897,0.00659656,0.0197897,0.00659656,0.0197897,0.00659656,0.0197897,0.00659656
3,482.431,1.70204,1.03465,1.06817,0.79151,0.59403,0.68015,0.338,1.58529,1.10213,1.09405,0.0293938,0.00979794,0.0293938,0.00979794,0.0293938,0.00979794,0.0293938,0.00979794
4,620.535,1.68598,1.01872,1.07502,0.82154,0.60578,0.70572,0.37862,1.52282,0.89129,1.06198,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,758.56,1.6299,0.95803,1.05418,0.82579,0.6344,0.73028,0.39437,1.49004,0.83066,1.05326,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,896.733,1.59122,0.91656,1.04155,0.81562,0.64578,0.7378,0.40435,1.4742,0.85773,1.054,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1034.66,1.57759,0.89448,1.03703,0.84875,0.65043,0.7508,0.41067,1.44902,0.7939,1.03562,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1178.25,1.55673,0.87324,1.02742,0.81551,0.65824,0.75201,0.41661,1.44375,0.7907,1.03812,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1316.98,1.54598,0.85738,1.0232,0.84433,0.67905,0.77681,0.42808,1.42063,0.73741,1.02614,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1452.43,1.53146,0.84686,1.02062,0.85156,0.65156,0.76071,0.42945,1.40974,0.7463,1.02216,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1587.53,1.51557,0.82945,1.01583,0.8291,0.67537,0.7681,0.42727,1.42118,0.73963,1.0285,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1723.02,1.51678,0.82864,1.01374,0.84458,0.6834,0.78272,0.44078,1.39956,0.72621,1.01997,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1862.24,1.50282,0.81257,1.00869,0.84066,0.68765,0.78284,0.4399,1.39038,0.71922,1.01635,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1997.06,1.49378,0.80769,1.0091,0.84858,0.6848,0.78074,0.44209,1.38325,0.71044,1.01674,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2132.12,1.49056,0.80163,1.00724,0.86539,0.68622,0.79035,0.44276,1.3912,0.70704,1.01146,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2266.61,1.48983,0.79865,1.00441,0.85522,0.70049,0.80104,0.45598,1.3662,0.69099,1.00525,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2402.14,1.47561,0.79013,1.00203,0.86122,0.69587,0.79528,0.45133,1.37419,0.68837,1.00652,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2536.53,1.47605,0.78723,1.00104,0.83986,0.70584,0.79616,0.45153,1.37343,0.69794,1.00773,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2669.68,1.46998,0.78172,0.99962,0.85324,0.70233,0.80056,0.45514,1.36771,0.68553,1.00402,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2804.95,1.46985,0.77895,0.99757,0.85655,0.71057,0.80793,0.46012,1.36379,0.6754,1.00227,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2938.8,1.46697,0.77552,0.99625,0.85494,0.7089,0.80395,0.45961,1.35705,0.68185,1.0015,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3073.04,1.45756,0.76657,0.99293,0.83736,0.71108,0.80303,0.46188,1.35157,0.67511,0.99813,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,20073.9,1.46058,0.76752,0.99466,0.85323,0.70796,0.80784,0.46641,1.34555,0.66496,0.99937,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,21439.5,1.45145,0.76419,0.99169,0.86734,0.71791,0.81604,0.46686,1.3575,0.66042,1.00058,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,21625.3,1.45485,0.76571,0.9913,0.86143,0.71649,0.81123,0.46758,1.34714,0.65839,0.99927,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,21762.4,1.44217,0.7554,0.98979,0.86562,0.71348,0.81182,0.46931,1.34164,0.65321,0.99758,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,21899.3,1.44552,0.75493,0.9894,0.85415,0.71844,0.81184,0.46852,1.34514,0.65178,0.99907,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,22038.1,1.43991,0.75291,0.99062,0.86671,0.72249,0.8174,0.47132,1.34341,0.64438,0.99258,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,22173,1.43065,0.74348,0.98816,0.86526,0.72803,0.822,0.47165,1.34053,0.64188,0.9953,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,22308,1.43006,0.74668,0.99032,0.85448,0.72631,0.81891,0.47033,1.33752,0.64514,0.99402,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,22445.8,1.43825,0.747,0.98435,0.86765,0.72522,0.82065,0.47529,1.33132,0.6396,0.99178,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,22585.3,1.4283,0.73955,0.98684,0.86604,0.71919,0.81806,0.47598,1.32881,0.63703,0.99227,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
